dispatcher,reopt,original_load
325.32,322.79,322.79
412.43,384.61,384.61
471.74,466.68,466.68
581.89,588.94,588.94
892.41,892.409,1298.23
461.29,461.292,1325.15
255.17,255.166,1309.09
74.89,74.8877,1340.39
79.86,79.8574,1297.53
287.07,287.073,1353.32
305.72,305.723,1353.59
914.39,914.437,1351.17
1040.49,1040.49,1396.34
1040.49,1040.49,1239.11
991.84,991.84,991.84
944.38,944.38,944.38
733.58,733.58,733.58
642.77,640.24,640.24
392.20,384.61,384.61
325.32,322.79,322.79
318.15,310.56,310.56
351.02,310.56,310.56
351.02,310.56,310.56
351.02,310.56,310.56
325.32,322.79,322.79
